customer_id,date,amount,channel
200794,2023-01-25,63.97,web
200241,2023-12-09,28.3,web
200291,2023-03-31,17.31,web
200729,2023-12-28,8.75,web
200594,2023-09-24,53.16,web
200438,2023-05-11,41.26,store
200860,2023-04-21,58.58,web
200686,2023-12-12,-33.0,web
200265,2023-12-30,57.82,partner
200549,2023-08-12,47.89,callcenter
200356,2023-01-18,34.11,callcenter
200374,2023-11-27,62.06,store
200724,2023-06-24,3.63,web
200611,2023-01-11,24.64,partner
200011,2023-10-20,-82.59,store
200517,2023-01-13,18.17,callcenter
200582,2023-05-16,38.68,web
200459,2023-01-28,54.35,web
200269,2023-06-09,27.33,web
200583,2023-10-21,54.85,web
200852,2023-02-17,42.29,store
200077,2023-02-20,189.16,callcenter
200542,2023-12-16,62.87,web
200819,2023-03-06,42.32,web
200360,2023-02-11,4.76,web
200301,2023-08-02,19.5,web
200222,2023-04-11,13.9,callcenter
200202,2023-12-16,92.4,web
200351,2023-03-01,12.31,web
200694,2023-07-26,26.97,web
200163,2023-12-03,46.01,web
200208,2023-09-25,22.62,store
200898,2023-01-11,25.78,web
200896,2023-03-10,42.32,partner
200204,2023-02-15,18.17,store
200378,2023-11-30,38.53,web
200363,2023-03-15,60.65,web
200266,2023-01-21,20.65,web
200137,2023-05-20,13.42,web
200055,2023-04-14,105.99,web
200552,2023-03-01,107.01,web
200037,2023-06-15,32.98,web
200558,2023-11-25,37.66,web
200085,2023-03-24,37.41,store
200138,2023-12-25,24.42,store
200004,2023-08-31,32.33,web
200358,2023-05-20,4.87,web
200294,2023-09-05,9.75,callcenter
200299,2023-05-08,25.91,web
200279,2023-03-19,20.82,web
200844,2023-03-27,-11.25,web
200387,2023-01-04,32.24,web
200728,2023-08-25,56.01,web
200209,2023-01-28,-18.19,callcenter
200434,2023-03-14,42.33,store
200056,2023-01-01,26.47,store
200232,2023-01-24,62.73,callcenter
200064,2023-11-27,8.94,web
200018,2023-01-09,12.83,partner
200163,2023-08-15,25.23,callcenter
200143,2023-04-30,15.53,store
200284,2023-02-20,76.44,partner
200669,2023-04-20,9.49,partner
200133,2023-02-03,24.52,web
200549,2023-04-25,122.01,web
200328,2023-10-26,8.73,store
200362,2023-08-15,34.77,store
200829,2023-10-24,26.89,web
200418,2023-09-12,47.04,web
200235,2023-12-05,-43.6,web
200214,2023-02-09,41.54,web
200151,2023-02-28,65.77,web
200721,2023-05-31,64.58,web
200598,2023-07-10,20.59,web
200240,2023-10-14,19.92,callcenter
200441,2023-02-14,54.24,web
200454,2023-02-10,38.74,callcenter
200042,2023-10-18,44.32,web
200817,2023-07-20,35.18,web
200709,2023-05-31,23.12,store
200481,2023-03-23,52.27,callcenter
200643,2023-09-11,17.44,store
200098,2023-10-20,123.78,partner
200879,2023-01-12,115.88,web
200576,2023-01-20,142.67,web
200844,2023-10-11,40.68,partner
200777,2023-11-19,25.68,web
200525,2023-03-25,88.93,web
200259,2023-09-15,35.79,web
200617,2023-11-04,62.67,store
200461,2023-02-11,62.36,web
200368,2023-03-09,17.88,web
200640,2023-02-17,51.39,web
200799,2023-10-16,60.43,web
200154,2023-10-09,32.54,web
200497,2023-02-18,9.65,web
200700,2023-03-05,90.35,store
200292,2023-08-31,121.95,web
200307,2023-11-24,37.56,store
200008,2023-10-12,27.66,web
200290,2023-03-03,7.96,web
200527,2023-05-21,39.14,store
200874,2023-01-25,24.22,web
200472,2023-03-31,7.92,web
200261,2023-07-25,66.41,web
200730,2023-05-06,53.38,web
200168,2023-08-10,21.65,web
200168,2023-04-19,106.53,store
200469,2023-07-25,33.71,web
200733,2023-08-20,38.1,web
200191,2023-03-13,30.1,web
200013,2023-01-17,72.85,web
200651,2023-05-04,52.01,web
200528,2023-01-16,4.81,web
200617,2023-02-28,35.65,web
200357,2023-04-16,61.96,web
200106,2023-05-04,7.95,web
200298,2023-04-12,61.5,callcenter
200422,2023-01-20,52.87,store
200389,2023-03-06,15.12,store
200800,2023-11-19,29.28,web
200201,2023-09-19,11.02,web
200280,2023-06-12,21.91,web
200165,2023-01-09,28.9,web
200513,2023-05-11,56.32,store
200724,2023-12-04,64.45,partner
200794,2023-10-23,41.96,web
200204,2023-10-04,27.9,web
200386,2023-04-01,60.15,store
200663,2023-05-28,38.2,web
200041,2023-01-11,45.48,store
200640,2023-11-10,66.71,store
200120,2023-02-11,57.61,partner
200030,2023-08-14,45.26,web
200101,2023-04-13,51.97,web
200792,2023-07-28,21.55,store
200612,2023-10-29,19.14,web
200710,2023-04-25,120.84,partner
